2016-01-09 09:37:39 status half-installed libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 install libreadline5:amd64 <none> 5.2+dfsg-2
2016-01-09 09:37:39 status half-installed libreadline5:amd64 5.2+dfsg-2
2016-01-09 09:37:39 status unpacked libreadline5:amd64 5.2+dfsg-2
2016-01-09 09:37:39 status unpacked libreadline5:amd64 5.2+dfsg-2
2016-01-09 09:37:39 install mariadb-common:all <none> 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status half-installed mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 install libdbi-perl:amd64 <none> 1.631-3build1
2016-01-09 09:37:39 status half-installed libdbi-perl:amd64 1.631-3build1
2016-01-09 09:37:39 status triggers-pending man-db:amd64 2.7.0.2-5
2016-01-09 09:37:39 status unpacked libdbi-perl:amd64 1.631-3build1
2016-01-09 09:37:39 status unpacked libdbi-perl:amd64 1.631-3build1
2016-01-09 09:37:39 install libterm-readkey-perl:amd64 <none> 2.32-1build1
2016-01-09 09:37:39 status half-installed libterm-readkey-perl:amd64 2.32-1build1
2016-01-09 09:37:39 status unpacked libterm-readkey-perl:amd64 2.32-1build1
2016-01-09 09:37:39 status unpacked libterm-readkey-perl:amd64 2.32-1build1
2016-01-09 09:37:39 install mariadb-client-core-10.0:amd64 <none> 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status half-installed mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 install mariadb-client-10.0:amd64 <none> 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:39 status half-installed mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 status unpacked mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 status unpacked mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 install mariadb-server-core-10.0:amd64 <none> 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 status half-installed mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 status unpacked mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 status unpacked mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:40 trigproc man-db:amd64 2.7.0.2-5 <none>
2016-01-09 09:37:40 status half-configured man-db:amd64 2.7.0.2-5
2016-01-09 09:37:42 status installed man-db:amd64 2.7.0.2-5
2016-01-09 09:37:42 startup packages configure
2016-01-09 09:37:42 configure mysql-common:all 5.6.27-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:42 status unpacked mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:42 status half-configured mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:42 status installed mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:42 configure mariadb-common:all 10.0.22-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:42 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status unpacked mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status half-configured mariadb-common:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status installed mariadb-common:all 10.0.22-0ubuntu0.15.04.1
